Key,DwellTime(ms),FlightTime(ms)
T,70.1234,50.2345
H,90.5678,45.6789
E,95.4321,35.7890
 ,90.1234,50.4567
Q,95.6789,70.2345
U,70.4567,50.1234
I,90.2345,55.6789
C,85.6789,20.2345
K,70.2345,85.6789
 ,95.4321,200.5678
B,85.6789,180.2345
R,90.2345,90.5678
O,85.4321,20.6789
W,85.6789,70.2345
N,70.1234,75.6789
 ,75.4321,150.9876
F,90.5678,13.4567
O,70.2345,110.2345
X,85.6789,35.4321
 ,105.6789,140.2345
J,70.2345,75.6789
U,70.5678,190.2345
M,70.1234,165.4321
P,90.5678,-35.6789
S,85.4321,35.6789
 ,105.6789,125.4321
O,90.2345,370.5678
V,75.6789,14.2345
E,90.5678,105.6789
R,85.4321,20.2345
 ,85.6789,200.1234
T,70.2345,90.5678
H,50.1234,70.2345
E,110.2345,50.6789
 ,70.5678,200.2345
L,85.4321,-14.5678
A,90.2345,120.5678
Z,105.6789,20.2345
Y,70.1234,70.5678
 ,70.2345,180.4567
D,90.5678,105.6789
O,70.2345,90.5678
P,55.6789,270.2345
A,85.4321,105.6789
C,90.5678,20.2345
K,70.2345,70.5678
 ,85.6789,105.4321
M,105.6789,310.2345
Y,70.5678,90.2345
 ,55.6789,120.5678
B,55.4321,1500.6789
O,70.2345,-14.2345
X,85.6789,20.5678
 ,85.4321,220.5678
W,85.6789,-13.4567
I,85.4321,200.2345
T,90.5678,70.2345
H,85.4321,105.6789
 ,55.6789,340.2345
F,85.4321,-35.6789
I,90.5678,140.2345
V,70.2345,20.5678
E,105.6789,-20.2345
 ,70.5678,680.2345
D,70.2345,280.5678
O,70.2345,470.5678
Z,105.6789,250.2345
E,90.5678,70.2345
N,70.1234,55.6789
 ,50.2345,950.6789
L,90.5678,120.2345
I,90.2345,50.5678
Q,90.5678,-19.2345
U,90.2345,390.5678
O,75.6789,14.2345
R,70.2345,20.5678
 ,50.1234,1000.2345
J,70.2345,70.5678
U,70.5678,165.4321
G,70.1234,-14.2345
H,70.2345,140.5678
O,90.5678,14.2345
W,110.2345,18.4567
 ,90.5678,120.2345
R,125.6789,120.5678
A,90.5678,105.6789
Z,140.2345,55.6789
O,85.4321,35.6789
R,110.2345,180.5678
B,70.2345,14.2345
A,90.5678,105.6789
C,105.6789,20.5678
K,50.1234,90.2345
 ,50.2345,850.6789
J,70.5678,70.2345
U,70.5678,165.4321
M,70.2345,340.5678
P,70.1234,130.2345
I,85.4321,165.4321
N,90.5678,-20.2345
G,70.2345,35.6789
 ,70.5678,320.2345
F,110.2345,-35.6789
R,105.6789,13.4567
O,105.6789,370.2345
G,90.5678,-20.2345
 ,75.6789,650.2345
C,85.4321,140.5678
A,90.5678,90.2345
N,70.5678,85.4321
 ,70.2345,125.6789
L,70.2345,70.5678
E,90.5678,280.2345
V,90.5678,280.2345
E,85.4321,150.2345
L,85.6789,105.6789
 ,90.5678,480.2345
S,85.4321,185.6789
I,70.2345,70.5678
X,70.1234,480.2345
 ,70.5678,950.6789
P,90.5678,140.2345
I,70.2345,300.5678
Q,90.5678,14.2345
U,90.5678,155.4321
E,105.6789,55.6789
D,105.6789,55.6789
 ,70.2345,1000.5678
G,85.4321,55.6789
Y,70.2345,600.2345
M,70.2345,85.4321
N,70.5678,200.2345
A,105.6789,280.5678
S,125.6789,210.2345
T,70.5678,290.2345
C,110.2345,120.5678
R,125.6789,120.2345
A,90.5678,125.6789
Z,105.6789,120.2345
Y,90.5678,125.6789
 ,70.2345,300.5678
F,75.6789,120.2345
R,90.5678,105.6789
E,105.6789,370.2345
D,70.2345,105.6789
R,90.5678,35.4321
I,85.4321,37.4567
C,90.5678,35.6789
K,70.2345,650.5678
 ,70.2345,600.5678
B,70.1234,320.2345
O,105.6789,105.6789
U,90.5678,140.2345
G,70.2345,70.5678
H,70.2345,50.2345
T,75.6789,70.2345
 ,70.5678,520.2345
M,85.4321,-15.6789
A,105.6789,-20.2345
N,90.5678,180.2345
Y,90.5678,70.2345
 ,70.2345,85.4321
V,70.2345,20.5678
E,70.2345,125.6789
R,105.6789,14.2345
Y,55.6789,70.2345
 ,70.5678,1100.2345
E,85.4321,200.5678
X,165.4321,340.5678
Q,90.5678,70.2345
U,70.5678,90.2345
I,85.4321,2200.5678
S,85.4321,200.2345
I,70.5678,250.2345
T,70.2345,22.3456
E,85.4321,35.6789
 ,35.6789,900.2345
O,90.5678,90.2345
P,70.2345,70.5678
A,85.4321,35.6789
L,90.5678,120.2345
 ,90.5678,550.2345
J,55.6789,35.4321
E,105.6789,250.2345
W,165.4321,-55.6789
E,140.2345,105.6789
L,75.6789,15.4321
